symbol,name,sector,bse_security_code,bse_industry
SUVENPHAR.BO,Suven Pharmaceuticals Limited,Healthcare,543064,Healthcare
PPLPHARMA.BO,Piramal Pharma Limited,Healthcare,543635,Healthcare
ERIS.BO,Eris Lifesciences Limited,Healthcare,540596,Healthcare
RAINBOW.BO,Rainbow Children's Medicare Limited,Healthcare,543524,Healthcare
MEDPLUS.BO,MedPlus Health Services Limited,Healthcare,543427,Consumer Services
ASTRAZEN.BO,AstraZeneca Pharma India Limited,Healthcare,506820,Healthcare
PGHL.BO,Procter & Gamble Health Limited,Healthcare,500126,Healthcare
SPARC.BO,Sun Pharma Advanced Research Company Limited,Healthcare,532872,Healthcare
GRANULES.BO,Granules India Limited,Healthcare,532482,Healthcare
JUBLPHARMA.BO,Jubilant Pharmova Limited,Healthcare,530019,Healthcare
METROPOLIS.BO,Metropolis Healthcare Limited,Healthcare,542650,Healthcare
JUBLINGREA.BO,Jubilant Ingrevia Limited,Healthcare,543271,Chemicals
FDC.BO,FDC Limited,Healthcare,531599,Healthcare
